3333744
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,0.003,-0.001,-0.002,-0.003,0.007,
2,0,0.011,-0.007,-0.011,0.012,
3,-0.003,-0.004,-0.005,0.001,0.017,
4,-0.002,-0.007,0.001,0.003,0.019,
5,-0.001,-0.005,0.005,0.007,0.021,
6,0.004,-0.006,0.012,-0.014,0.034,
7,0.003,-0.005,0.011,-0.004,0.037,
8,-0.001,-0.003,0.017,-0.021,0.055,
9,-0.001,-0.004,0.01,-0.021,0.067,
10,-0.006,0.01,0.006,-0.019,0.067,
11,-0.006,0.01,0,-0.02,0.075,
12,-0.009,0.009,-0.002,-0.017,0.084,
13,-0.014,0.009,0.004,-0.017,0.092,
14,-0.012,0.015,-0.002,-0.007,0.089,
15,-0.002,0.01,-0.003,-0.009,0.09,
16,-0.001,0.009,0.011,-0.013,0.083,
17,-0.005,0.025,0.014,-0.018,0.076,
18,-0.004,0.022,0.013,-0.022,0.087,
19,0,0.022,0.013,0.011,0.056,
20,0.013,0.012,0.011,0.016,0.06,
21,0.015,0.002,0.011,0.02,0.073,
22,0.015,-0.002,0.011,0.017,0.081,
23,0.02,-0.009,0.01,0.013,0.091,
24,0.021,-0.008,0.009,0.018,0.093,
25,0.025,-0.013,0.009,0.02,0.097,
26,0.045,-0.013,-0.011,0.023,0.096,
27,0.049,-0.011,-0.01,0.038,0.083,
28,0.049,0.002,-0.022,0.038,0.088,
29,0.044,0.002,-0.011,0.036,0.09,
30,0.075,-0.031,-0.012,0.037,0.092,
31,0.097,-0.044,-0.012,0.038,0.09,
32,0.117,-0.04,-0.018,0.028,0.089,
33,0.117,-0.037,0.01,0.014,0.075,
34,0.122,-0.031,0.007,0.021,0.072,
35,0.105,-0.03,0.004,0.048,0.069,
36,0.124,-0.032,0,0.04,0.063,
37,0.138,-0.032,-0.005,0.04,0.057,
38,0.15,-0.032,-0.024,0.05,0.057,
39,0.151,-0.018,-0.025,0.044,0.061,
40,0.16,-0.017,-0.017,0.045,0.053,
41,0.158,-0.016,-0.016,0.065,0.039,
42,0.156,-0.015,-0.009,0.091,0.009,
43,0.162,-0.013,-0.012,0.091,0.014,
44,0.162,-0.014,-0.015,0.114,-0.004,
45,0.167,-0.013,-0.008,0.086,0.016,
46,0.168,-0.02,-0.001,0.106,0.001,
47,0.178,-0.009,-0.01,0.126,-0.028,
48,0.174,-0.011,-0.012,0.137,-0.027,
49,0.182,-0.003,-0.019,0.146,-0.032,
50,0.188,0.003,-0.026,0.155,-0.042,
51,0.216,0.007,-0.018,0.131,-0.058,
52,0.216,0.007,-0.017,0.13,-0.056,
53,0.226,0.002,-0.02,0.138,-0.057,
54,0.231,-0.001,-0.02,0.172,-0.093,
55,0.208,-0.003,-0.018,0.178,-0.07,
56,0.216,-0.008,-0.021,0.197,-0.088,
57,0.229,-0.007,-0.025,0.202,-0.097,
58,0.228,-0.019,-0.023,0.228,-0.111,
59,0.232,-0.027,-0.023,0.252,-0.124,
60,0.232,-0.033,-0.002,0.263,-0.147,
61,0.229,-0.033,0.004,0.266,-0.146,
62,0.228,-0.025,0.001,0.238,-0.122,
63,0.233,-0.026,0.002,0.258,-0.137,
64,0.235,-0.024,0.001,0.268,-0.134,
65,0.235,-0.025,-0.001,0.293,-0.151,
66,0.236,-0.03,0.011,0.282,-0.14,
67,0.251,-0.04,0.01,0.281,-0.139,
68,0.27,-0.039,0.004,0.297,-0.169,
69,0.277,-0.04,0.003,0.304,-0.173,
70,0.275,-0.041,0.004,0.309,-0.174,
71,0.274,-0.035,0.007,0.314,-0.179,
72,0.277,-0.032,0.008,0.321,-0.182,
73,0.28,-0.038,0.005,0.331,-0.179,
74,0.283,-0.046,0.005,0.319,-0.154,
75,0.302,-0.051,-0.013,0.324,-0.154,
76,0.322,-0.046,-0.033,0.322,-0.152,
77,0.325,-0.046,-0.038,0.328,-0.149,
78,0.341,-0.03,-0.051,0.323,-0.162,
79,0.342,-0.025,-0.046,0.313,-0.157,
80,0.357,-0.027,-0.055,0.313,-0.159,
81,0.377,-0.022,-0.073,0.311,-0.159,
82,0.381,-0.009,-0.084,0.301,-0.152,
83,0.389,-0.01,-0.088,0.3,-0.147,
84,0.396,-0.004,-0.086,0.291,-0.15,
85,0.394,-0.005,-0.093,0.282,-0.127,
86,0.398,0.017,-0.12,0.28,-0.118,
87,0.423,0.025,-0.141,0.274,-0.118,
88,0.445,0.03,-0.167,0.273,-0.113,
89,0.45,0.02,-0.157,0.276,-0.11,
90,0.443,0.019,-0.143,0.277,-0.109,
91,0.444,-0.001,-0.131,0.296,-0.116,
92,0.451,0.011,-0.139,0.291,-0.118,
93,0.436,0.02,-0.133,0.297,-0.12,
94,0.43,0.022,-0.135,0.29,-0.105,
95,0.392,0.024,-0.094,0.287,-0.105,
96,0.409,0.028,-0.105,0.274,-0.095,
97,0.42,0.027,-0.098,0.266,-0.096,
98,0.438,0.024,-0.127,0.268,-0.084,
99,0.452,0.013,-0.139,0.286,-0.092,
100,0.46,0.014,-0.139,0.285,-0.087,
101,0.47,0.013,-0.135,0.28,-0.083,
102,0.472,0.009,-0.135,0.267,-0.065,
103,0.509,0.007,-0.135,0.229,-0.062,
104,0.515,0.011,-0.137,0.199,-0.039,
105,0.535,0.015,-0.148,0.197,-0.041,
106,0.549,0.016,-0.151,0.193,-0.042,
107,0.557,0.029,-0.168,0.187,-0.039,
108,0.559,0.028,-0.168,0.189,-0.034,
109,0.562,0.029,-0.156,0.177,-0.028,
110,0.565,0.029,-0.145,0.169,-0.029,
111,0.573,0.026,-0.146,0.172,-0.026,
112,0.575,0.024,-0.141,0.172,-0.022,
113,0.594,0.02,-0.156,0.178,-0.022,
114,0.603,0.022,-0.161,0.17,-0.011,
115,0.604,0.018,-0.148,0.177,-0.017,
