7437012
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,-0.003,0,0,-0.014,0.017,
2,-0.027,0.012,0,-0.037,0.055,
3,-0.029,0.013,-0.002,-0.035,0.063,
4,-0.031,0.007,0.009,-0.042,0.069,
5,-0.031,0.005,-0.019,-0.025,0.083,
6,-0.033,0.008,-0.023,-0.027,0.096,
7,-0.024,0.001,-0.024,-0.044,0.119,
8,-0.01,-0.002,-0.024,-0.036,0.109,
9,-0.001,-0.007,-0.025,-0.025,0.109,
10,-0.006,-0.012,-0.018,-0.012,0.103,
11,-0.006,-0.016,-0.015,0.008,0.088,
12,0.008,-0.007,-0.013,0.004,0.072,
13,0.014,-0.005,-0.019,-0.022,0.101,
14,0.019,-0.017,-0.027,-0.013,0.114,
15,0.019,-0.017,-0.027,-0.01,0.122,
16,0.019,0,-0.038,-0.015,0.127,
17,0.015,-0.006,-0.037,-0.011,0.141,
18,0.014,-0.007,-0.034,-0.017,0.152,
19,0.014,-0.01,-0.018,-0.023,0.151,
20,0.004,-0.007,-0.008,-0.027,0.156,
21,-0.001,-0.014,0.023,-0.043,0.153,
22,-0.001,-0.014,0.022,-0.034,0.161,
23,0.005,-0.016,0.02,-0.043,0.171,
24,0.006,-0.015,0.032,-0.051,0.17,
25,0.005,-0.016,0.037,-0.059,0.184,
26,0.003,-0.014,0.039,-0.058,0.185,
27,0.006,-0.011,0.066,-0.081,0.177,
28,0.005,0.01,0.062,-0.089,0.173,
29,0.005,-0.016,0.104,-0.108,0.176,
30,0.005,-0.046,0.148,-0.122,0.175,
31,0,-0.034,0.151,-0.126,0.181,
32,0.001,-0.034,0.18,-0.155,0.18,
33,-0.004,-0.03,0.189,-0.154,0.182,
34,0.004,-0.033,0.199,-0.159,0.182,
35,0.014,-0.037,0.211,-0.176,0.182,
36,0.012,-0.035,0.225,-0.179,0.179,
37,0.014,-0.048,0.239,-0.178,0.178,
38,0.002,-0.049,0.27,-0.187,0.175,
39,0,-0.051,0.289,-0.191,0.174,
40,0.007,-0.053,0.291,-0.185,0.172,
41,0.006,-0.054,0.311,-0.193,0.174,
42,0.008,-0.055,0.315,-0.192,0.174,
43,0.014,-0.056,0.318,-0.192,0.175,
44,0.013,-0.056,0.341,-0.192,0.159,
45,0.012,-0.056,0.355,-0.19,0.153,
46,0.014,-0.055,0.363,-0.196,0.153,
47,0.015,-0.055,0.368,-0.187,0.151,
48,0.014,-0.054,0.368,-0.188,0.157,
49,0.02,-0.054,0.372,-0.18,0.139,
50,0.019,-0.061,0.366,-0.178,0.155,
51,0.023,-0.069,0.36,-0.184,0.176,
52,0.021,-0.081,0.36,-0.203,0.21,
53,0.009,-0.072,0.382,-0.225,0.216,
54,0.008,-0.072,0.381,-0.229,0.23,
55,0.014,-0.079,0.382,-0.262,0.26,
56,0.014,-0.076,0.387,-0.269,0.27,
57,0.012,-0.078,0.389,-0.268,0.276,
58,0.01,-0.074,0.393,-0.278,0.282,
59,0.01,-0.072,0.395,-0.273,0.283,
60,0.018,-0.074,0.398,-0.273,0.287,
61,0.016,-0.067,0.407,-0.279,0.288,
62,0.022,-0.073,0.41,-0.279,0.295,
63,0.028,-0.083,0.417,-0.292,0.31,
64,0.037,-0.094,0.418,-0.309,0.334,
65,0.037,-0.092,0.436,-0.319,0.335,
66,0.054,-0.093,0.438,-0.315,0.316,
67,0.052,-0.094,0.442,-0.303,0.314,
68,0.042,-0.095,0.443,-0.284,0.314,
69,0.034,-0.092,0.448,-0.27,0.312,
70,0.034,-0.099,0.451,-0.272,0.319,
71,0.034,-0.071,0.451,-0.287,0.313,
72,0.05,-0.063,0.453,-0.304,0.31,
73,0.044,-0.054,0.464,-0.302,0.303,
74,0.035,-0.046,0.471,-0.296,0.299,
75,0.022,-0.05,0.466,-0.272,0.297,
76,0.033,-0.052,0.465,-0.27,0.291,
77,0.034,-0.062,0.463,-0.261,0.3,
78,0.033,-0.057,0.472,-0.266,0.302,
79,-0.002,-0.055,0.472,-0.229,0.302,
80,-0.003,-0.063,0.48,-0.223,0.305,
81,-0.008,-0.052,0.482,-0.226,0.305,
82,-0.006,-0.035,0.484,-0.241,0.304,
83,-0.009,-0.018,0.489,-0.246,0.296,
84,-0.006,-0.005,0.481,-0.249,0.295,
85,-0.006,0.002,0.486,-0.249,0.295,
86,-0.013,0.002,0.491,-0.243,0.299,
87,-0.011,0.002,0.491,-0.233,0.3,
88,-0.012,0.013,0.49,-0.234,0.299,
89,-0.011,0.012,0.497,-0.236,0.3,
90,-0.017,0.015,0.508,-0.238,0.299,
91,-0.027,0.039,0.51,-0.232,0.277,
92,-0.023,0.039,0.507,-0.225,0.27,
93,-0.019,0.039,0.505,-0.221,0.266,
94,-0.02,0.03,0.512,-0.209,0.262,
95,-0.026,0.029,0.517,-0.191,0.255,
96,-0.032,0.054,0.519,-0.186,0.239,
97,-0.034,0.059,0.517,-0.173,0.231,
98,-0.034,0.083,0.521,-0.179,0.215,
99,-0.034,0.104,0.52,-0.192,0.211,
100,-0.026,0.103,0.523,-0.191,0.208,
101,-0.026,0.107,0.522,-0.18,0.202,
102,-0.032,0.113,0.514,-0.166,0.199,
103,-0.032,0.145,0.518,-0.183,0.186,
104,-0.019,0.135,0.523,-0.18,0.178,
105,-0.019,0.137,0.525,-0.174,0.181,
106,-0.029,0.152,0.522,-0.172,0.183,
107,-0.041,0.151,0.536,-0.17,0.181,
108,-0.047,0.169,0.539,-0.162,0.161,
109,-0.056,0.181,0.544,-0.158,0.154,
110,-0.09,0.188,0.545,-0.156,0.182,
111,-0.092,0.204,0.541,-0.157,0.178,
112,-0.09,0.202,0.54,-0.146,0.176,
113,-0.09,0.202,0.546,-0.139,0.171,
114,-0.088,0.2,0.55,-0.144,0.175,
115,-0.088,0.199,0.575,-0.172,0.175,
116,-0.091,0.211,0.577,-0.172,0.165,
117,-0.114,0.223,0.577,-0.15,0.155,
118,-0.131,0.243,0.577,-0.13,0.133,
119,-0.13,0.265,0.577,-0.123,0.108,
120,-0.125,0.269,0.577,-0.123,0.111,
121,-0.121,0.273,0.567,-0.117,0.112,
122,-0.125,0.273,0.554,-0.091,0.103,
123,-0.121,0.275,0.547,-0.092,0.109,
124,-0.119,0.27,0.549,-0.083,0.11,
125,-0.122,0.271,0.535,-0.085,0.129,
126,-0.127,0.27,0.537,-0.084,0.137,
127,-0.126,0.28,0.536,-0.086,0.136,
128,-0.123,0.288,0.536,-0.086,0.133,
129,-0.121,0.286,0.528,-0.072,0.132,
130,-0.12,0.286,0.535,-0.059,0.121,
131,-0.117,0.278,0.545,-0.055,0.12,
132,-0.106,0.276,0.545,-0.062,0.126,
133,-0.11,0.275,0.551,-0.059,0.128,
134,-0.108,0.281,0.545,-0.054,0.128,
135,-0.105,0.284,0.53,-0.036,0.124,
136,-0.107,0.284,0.492,0.006,0.124,
137,-0.103,0.288,0.492,0.009,0.124,
138,-0.103,0.29,0.494,0.014,0.121,
139,-0.098,0.298,0.501,0.018,0.105,
140,-0.089,0.302,0.495,0.011,0.106,
141,-0.093,0.301,0.496,0.015,0.109,
142,-0.089,0.302,0.495,0.022,0.109,
143,-0.09,0.303,0.491,0.023,0.118,
144,-0.091,0.315,0.485,0.022,0.118,
145,-0.103,0.314,0.496,0.029,0.114,
146,-0.113,0.314,0.496,0.038,0.119,
147,-0.105,0.314,0.493,0.043,0.12,
148,-0.1,0.314,0.493,0.046,0.117,
149,-0.101,0.319,0.487,0.046,0.124,
150,-0.097,0.321,0.485,0.049,0.124,
151,-0.093,0.318,0.492,0.051,0.123,
152,-0.091,0.325,0.493,0.047,0.125,
153,-0.075,0.325,0.492,0.04,0.125,
154,-0.067,0.323,0.474,0.058,0.127,
155,-0.068,0.323,0.469,0.068,0.126,
156,-0.079,0.32,0.464,0.091,0.128,
157,-0.077,0.32,0.454,0.1,0.13,
158,-0.077,0.322,0.437,0.12,0.13,
159,-0.069,0.322,0.43,0.126,0.13,
160,-0.071,0.318,0.43,0.133,0.129,
161,-0.088,0.359,0.429,0.116,0.125,
162,-0.083,0.375,0.429,0.107,0.125,
163,-0.063,0.366,0.429,0.105,0.127,
164,-0.06,0.365,0.434,0.103,0.131,
165,-0.04,0.358,0.435,0.106,0.123,
166,-0.039,0.396,0.397,0.106,0.123,
167,-0.03,0.397,0.383,0.124,0.113,
168,-0.008,0.374,0.382,0.127,0.116,
169,-0.006,0.377,0.37,0.139,0.115,
170,0.001,0.385,0.372,0.139,0.103,
171,0.001,0.39,0.347,0.151,0.114,
172,0.009,0.373,0.348,0.158,0.119,
173,0.021,0.371,0.354,0.157,0.118,
174,0.036,0.368,0.356,0.163,0.109,
175,0.039,0.342,0.357,0.187,0.111,
176,0.038,0.334,0.353,0.182,0.129,
177,0.042,0.338,0.348,0.195,0.124,
178,0.049,0.346,0.354,0.198,0.113,
179,0.04,0.331,0.38,0.198,0.111,
180,0.047,0.324,0.394,0.19,0.109,
181,0.05,0.321,0.386,0.203,0.11,
182,0.061,0.311,0.375,0.208,0.121,
183,0.058,0.308,0.381,0.219,0.118,
184,0.059,0.318,0.368,0.227,0.114,
185,0.08,0.315,0.366,0.235,0.095,
186,0.089,0.318,0.357,0.247,0.085,
187,0.108,0.326,0.34,0.247,0.084,
188,0.112,0.327,0.317,0.264,0.095,
189,0.121,0.314,0.316,0.26,0.11,
190,0.134,0.309,0.311,0.261,0.112,
